id,nameKR,ribbon,bookYear,phone,priceRangeMin,priceRangeMax,businessHours,menu,dayOff,OpenDate,roadAddr,jibunAddr,detailAddress,siNm,sggNm,emdNm,zone2_1,zone2_2,lat,lng,review,foodTypes,ribbon_num
32608,솔밤,RIBBON_THREE,2026,070-4405-7788,350000.0,400000.0,"
","
",,2021년 09월 23일,서울특별시 강남구 학동로 231  (논현동),서울특별시 강남구 논현동 89-10, 논현백영센터 2층,서울특별시,강남구,논현동,서울 강남,논현동/영동시장,37.5154927557092,127.0341900991,"한식을 기반으로한 컨템포러리 파인 다이닝. 뉴욕 일레븐매디슨파크, 서울 임프레션 등을 거친 엄태준 셰프가 독창적이고 섬세한 코스로 풀어낸다. 고동연 소믈리에의 독창적인 와인 페어링과 함께 12코스가 조화롭게 진행된다. 솔밤은 엄셰프가 유년을 보낸 안동의 지명이다.","한식(일반한식), 뉴코리안",3
571,아리아께,RIBBON_THREE,2026,02-2230-3356 ,165000.0,290000.0,12:00~14:30/17:30~21:30 ,"스즈카제런치코스(18만원), 스즈카제디너코스(29만원), 고쿠코스(16만5천원), 사치코스(24만원), 신라코스(28만5천원)",연중무휴,1979년 ,서울특별시 중구 동호로 249 (장충동2가),서울특별시 중구 장충동2가 202,서울신라호텔 2층,서울특별시,중구,장충동2가,서울 강북,장충동/약수동/신당동/황학동,37.5563,127.0063,"재료의 선도가 좋기로 유명한, 서울에서 손꼽히는 일식집 중 하나다. 담백하고 정갈한 90여 가지의 정통 관서 지방의 요리를 선보인다. 스시의 퀄리티가 특히 독보적으로, 현재 우리나라 스시 분야는 아리아께 출신 조리장이 석권하고 있다고 해도 과언이 아니다. 스시조와 함께 우리나라 스시의 양대 산맥으로 불린다. 스시 뿐만 아니라 가이세키도 훌륭하다.","일식, 스시",3
198,도원,RIBBON_THREE,2026,02-310-7300,180000.0,200000.0,11:30~14:30/18:00~21:30 ,"셰프추천코스(20만원), 디너코스(18만원), 런치코스(15만원)",연중무휴,1976년 ,서울특별시 중구 소공로 119 (태평로2가),서울특별시 중구 태평로2가 23 더 플라자,더플라자 3층,서울특별시,중구,태평로2가,서울 강북,시청/소공동/정동,37.56466,126.9782,"50년 가까운 역사의 호텔 중식당으로, 유명인들이 자주 찾는 곳으로도 유명하다. 분위기, 맛, 서비스 모두 나무랄 데 없이 훌륭하다. 시대의 흐름에 맞추어 끊임없이 메뉴에 변화를 주고 있으며 전통적인 레시피에 기초한 모던한 중식을 선보이고 있다. 기름기가 적은 산뜻한 맛의 중식을 즐길 수 있다. ","중식, 북경식중식, 일반중식",3
1534,낙원,RIBBON_THREE,2026,02-2660-9010,50000.0,150000.0,11:30~14:30(마지막 주문 13:30)/17:30~ 21:30(마지막 주문 20:30) ,"특생대대갈비, 특양념대갈비(각 270g 15만원), 한우꽃등심(130g 9만5천원), 한우등심불고기(200g 5만5천원), 한우양념갈비구이정식(200g 11만원), 낙지볶음(5만원), 해물파전(3만5천원)",연중무휴,1983년 ,서울특별시 강서구 방화대로 94 (외발산동),서울특별시 강서구 외발산동 426 메이필드호텔,메이필드호텔 1층,서울특별시,강서구,외발산동,서울 강남,김포/마곡,37.54683,126.8186,갈비를 비롯한 한우구이를 전문으로 하고 있으며 가격대가 높은 만큼 품격 있는 분위기와 서비스를 즐길 수 있다. 재료 본연의 맛을 살린 음식의 맛이 좋다. 룸이 여러 개 있어 비즈니스 미팅에도 좋다. 낙원 안쪽에는 한정식집 봉래헌이 있다.,"한식(육류), 소갈비, 소고기구이",3
37882,소수헌,RIBBON_THREE,2026,0502-1933-1337,300000.0,500000.0,12:00~14:00/18:30~21:00 | 토요일 12:00~14:00 ,"오마카세(런치 30만원, 디너 50만원)","일, 월요일 휴무",2024년 03월 ,서울특별시 중구 만리재로21길 8  (만리동2가),서울특별시 중구 만리동2가 283 소수헌빌딩,,서울특별시,중구,만리동2가,서울 강북,남대문/서울역/후암동,37.5529553805687,126.963407179378,스시 분야에서 독보적인 위치를 차지하고 있는 박경재 셰프가 선보이는 하이엔드 스시야. 정성스럽게 내어주는 츠마미를 시작으로 간결하면서도 내공 있는 스시를 맛볼 수 있다. 국가유산으로 지정된 고택을 멋스럽게 리모델링한 곳에 자리잡고 있으며 티 룸도 따로 준비되어 있다.,"일식, 스시",3
29083,쵸이닷,RIBBON_THREE,2026,02-518-0318,78000.0,198000.0,,,,2017년 03월 18일,서울특별시 강남구 도산대로 457 (청담동),서울특별시 강남구 청담동 98-7 앙스돔빌딩,앙스돔빌딩 3층,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.524456,127.046528,최현석 셰프의 크리에이티브한 요리를 즐길 수 있는 레스토랑. 분자요리와 이탈리아 요리를 기반으로 한 창의적인 요리가 코스로 나온다. 생각지 못한 재기발랄한 플레이팅은 자칫 엄숙하게 느껴질 수 있는 파인다이닝에 위트로 작용한다. 메뉴는 계절이나 재료에 맞춰 주기적으로 바뀌며 요리에 걸맞은 와인을 곁들이는 와인페어링도 추천한다. ,"컨템포러리, 이노베이티브퀴진, 분자요리, 이탈리아식",3
4627,홍보각,RIBBON_THREE,2026,02-531-6479,28000.0,450000.0,12:00~15:00/18:00~21:30(마지막 주문 20:00) ,"스페셜코스(1인 15만원), 디너코스(A 12만원, B 16만원), 고법불도장(13만원), 모자새우(소 6만원, 대 10만원), 한알탕수육(소 4만8천원, 대 7만원), 특선냉채(2만8천원), 셰프특선수프(3만8천원), 셰프스페셜송이특찜(15만원)",연중무휴,2007년 ,서울특별시 강남구 봉은사로 130  (역삼동),서울특별시 강남구 역삼동 603 노보텔 앰배서더 강남 서울,노보텔앰배서더강남서울 LL층,서울특별시,강남구,역삼동,서울 강남,강남역,37.5052805568865,127.028919391781,"국내 중식의 대가인 여경래 셰프가 2023년 이전하여 오픈한 중식 파인 다이닝 레스토랑. 고급스러운 분위기의 인테리어에서 정통 중식을 맛볼 수 있다. 여경래 셰프의 시그니처 메뉴인 불도장, 모자새우 등을 선보인다.","중식, 일반중식",3
415,봉래헌,RIBBON_THREE,2026,02-2660-9020,70000.0,110000.0,,,,2003년 ,서울특별시 강서구 방화대로 94 (외발산동),서울특별시 강서구 외발산동 426 메이필드호텔,메이필드호텔,서울특별시,강서구,외발산동,서울 강남,김포/마곡,37.54683,126.8186,정통 궁중 음식을 코스로 재현해 선보이는 한정식집이다. 경복궁 복원에 참여했던 문화재 기능자 이일구 대목수가 전통 궁궐 양식으로 지은 한옥에 자리하고 있다. 작은 연못과 정원이 조화를 이루고 있어 고급스러운 분위기를 연출한다. ,"한식(일반한식), 한정식",3
4963,명월관,RIBBON_THREE,2026,02-6330-9050,60000.0,770000.0,,,,1982년 ,서울특별시 광진구 워커힐로 177 (광장동),서울특별시 광진구 광장동 22-1 워커힐호텔,쉐라톤그랜드워커힐호텔,서울특별시,광진구,광장동,서울 강북,건대입구/광진구,37.55565,127.1113,"워커힐호텔 내 한옥 분위기의 별채로 있는, 주변 경치가 아름다운 숯불구이 전문점. 좋은 참숯에 구워 먹는 고기의 질도 훌륭하다. 된장 양념으로 맛을 낸 장향갈비가 인기. 식사 메뉴인 한우갈비탕 맛이 좋기로 유명하다. 별채에서는 한우 맡김차림으로 진행된다.","한식(육류), 소갈비, 소고기구이, 한우오마카세",3
29567,라망시크레,RIBBON_THREE,2026,02-317-4003 ,170000.0,270000.0,,,,2018년 07월 19일,서울특별시 중구 퇴계로 67 (회현동1가),서울특별시 중구 회현동1가 194-19,레스케이프 호텔 26층,서울특별시,중구,회현동1가,서울 강북,남대문/서울역/후암동,37.559733515077966,126.97952350317435,부티크호텔 레스케이프 호텔 최상층에 자리한 컨템포러리 프렌치 레스토랑. 세련된 플레이팅의 요리를 파리에 있는 듯한 분위기에서 즐길 수 있다. 코스 구성은 계절별로 바뀐다. 요리와 어울리는 내추럴 와인을 페어링해 즐길 수도 있다. 손종원 셰프가 이타닉가든과 라망시크레 모두 책임지고 있다.,"컨템포러리, 프랑스식",3
32541,호빈,RIBBON_THREE,2026,02-2270-3141,78000.0,170000.0,,,,2022년 01월 27일,서울특별시 중구 동호로 287 (장충동2가),서울특별시 중구 장충동2가 186-54 그랜드앰배서더서울,앰배서더서울풀만호텔 2층,서울특별시,중구,장충동2가,서울 강북,장충동/약수동/신당동/황학동,37.5605790552175,127.002123277822,"서울 최고의 중식 역사를 만든 후덕죽 셰프의 정통  요리를 맛볼 수 있는 곳. 광동식을 기반으로 하고 있으며 의식동원을 모토로 하여 최고의 보양식 요리를 추구한다. 코스의 구성도 좋으며, 단품으로도 즐길 수 있다.","중식, 일반중식",3
20038,테이블포포,RIBBON_THREE,2026,0507-1374-6480,150000.0,250000.0,,,,2014년 ,서울특별시 용산구 대사관로31길 25-12  (한남동),서울특별시 용산구 한남동 657-138,보보스한남 5층,서울특별시,용산구,한남동,서울 강북,한남동/옥수동/금호동,37.5346682132297,127.005247297399,섬세한 유로피안 스타일의 이탈리안 요리를 맛볼 수 있는 김성운 셰프의 테이블포포가 서래마을에서 한남동으로 이전하여 새로운 모습으로 오픈하였다. 태안에서 가져오는 신선한 식재료를 많이 사용하고 있는 것이 특징이며 전망 좋은 분위기와 아기자기하면서도 화려한 플레이팅이 시각적인 즐거움을 더한다.,이탈리아식,3
31886,이타닉가든,RIBBON_THREE,2026,02-727-7610,250000.0,370000.0,,,,2021년 05월 ,서울특별시 강남구 테헤란로 231 (역삼동),서울특별시 강남구 역삼동 676 센터필드,조선팰리스강남 36층,서울특별시,강남구,역삼동,서울 강남,역삼동,37.5028813541774,127.041356540268,프렌치 조리법에 컨템포러리 한식을 접목한 파인 다이닝 레스토랑. 손종원 셰프의 섬세하면서도 화려한 플레이팅을 바탕으로 코스 요리를 선보인다. 와인과 전통주 페어링이 가능하며 창가 자리의 시티뷰가 좋으니 예약 시 참고할 것.,"한식(일반한식), 뉴코리안",3
26944,스와니예,RIBBON_THREE,2026,02-3477-9386,240000.0,280000.0,,,,2013년 12월 24일,서울특별시 강남구 강남대로 652 (신사동),서울특별시 강남구 신사동 504-11 SINSA SQUARE,신사스퀘어 2층,서울특별시,강남구,신사동,서울 강남,가로수길/신사역,37.5195101291255,127.019106035326,프렌치에 한국적인 요소를 가미한 컨템포러리 레스토랑. 에피소드라는 이름으로 시즌별로 바뀌는 코스는 각각 특별한 주제를 가지고 있어 이준 셰프의 상상력과 표현력을 엿볼 수 있다.,컨템포러리,3
30195,소울다이닝,RIBBON_THREE,2026,02-318-7685,150000.0,250000.0,,,,2019년 07월 02일,서울특별시 용산구 신흥로26길 35 (용산동2가),서울특별시 용산구 용산동2가 1-549,지하 1층,서울특별시,용산구,용산동2가,서울 강북,이태원/해방촌/동빙고,37.54536153663566,126.98438418086488,"윤대현 셰프와 김희은 셰프 부부가 함께 운영하는 모던 한식 레스토랑. 현대 한국에 존재하는 다양한 식문화로부터 영감을 받아 익숙한 한국 음식을 새롭게 풀어낸다. 포항물회, 감자전, 오리보쌈 등과 같은 친숙한 요리를 재해석한 새로운 맛을 즐길 수 있다.","한식(일반한식), 모던한식",3
32014,하네,RIBBON_THREE,2026,0507-1440-0887,180000.0,360000.0,,,,2021년 ,서울특별시 강남구 언주로172길 14 (신사동),서울특별시 강남구 신사동 636-16,,서울특별시,강남구,신사동,서울 강남,압구정동/도산공원,37.527629770888,127.034918660011,스시초희 출신 최주용 셰프의 하이엔드 스시야로 스시 오마카세를 선보인다. 매끄러운 네타의 결이 인상적이며 샤리와의 밸런스도 잘 어울린다. 다른 스시집에서 맛보기 어려운 어종을 맛볼 수 있다는 평이다.,"일식, 스시",3
29206,고료리켄,RIBBON_THREE,2026,02-511-7809,250000.0,250000.0,,,,2017년 05월 ,서울특별시 강남구 언주로152길 15-3 (신사동),서울특별시 강남구 신사동 631-28,2층,서울특별시,강남구,신사동,서울 강남,압구정동/도산공원,37.52300901428518,127.03480609700759,김건 셰프가 내는 컨템포러리 재패니즈 퀴진. 신선한 제철 식재료를 사용해 만든 요리를 코스로 낸다. 일식에 프렌치 또는 이탈리안 터치가 가미된 스타일의 오마카세를 맛볼 수 있다.,"일식, 모던재패니즈, 컨템포러리",3
4953,비스트로드욘트빌,RIBBON_THREE,2026,02-541-1550,65000.0,130000.0,"11:30~15:00(마지막 주문 13:30)/18:00~22:00(마지막 주문 20:00) | 토, 일요일 11:30~15:30(마지막 주문 14:00)/18:00~22:00(마지막 주문 20:00) ","런치코스(6만5천원, 9만5천원), 디너코스(11만원, 13만원)","월요일, 명절 휴무",2009년 ,서울특별시 강남구 선릉로158길 13-7 (청담동),서울특별시 강남구 청담동 83-6,이안빌딩 1층,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.526,127.0412,"편안한 분위기에서 와인과 프랑스 음식을 즐길 수 있는 곳. 클래식한 정통 프렌치 비스트로를 즐길 수 있다. 알라카르트 외에도 프리픽스 메뉴가 준비되어 있어 전채, 메인, 디저트에서 원하는 것을 선택해 주문할 수 있는 점이 매력적이다. 해산물 요리에 강점이 있으며 가격 대비 만족도도 뛰어나다.",프랑스식,3
29464,온지음레스토랑,RIBBON_THREE,2026,02-6952-0024 ,170000.0,250000.0,12:00~15:00/18:00~22:00(마지막 주문 20:00) ,"점심코스(17만원), 저녁코스(25만원)","토, 일, 월요일, 공휴일 휴무",2018년 ,서울특별시 종로구 효자로 49 (창성동),서울특별시 종로구 창성동 17-1 온지음,4층,서울특별시,종로구,창성동,서울 강북,서촌/부암동,37.5804948296674,126.9733908253081,"서울을 대표하는 한식 레스토랑 중의 하나로, 정통 한식에 기반한 모던 한식을 파인 다이닝으로 즐길 수 있다. 조은희 주방장과 박성배 수석 연구원이 전국 각지에서 나는 제철 식재료를 연구해 한 가지 코스로 정갈하게 풀어낸다.","한식(일반한식), 모던한식",3
29242,모수서울,RIBBON_THREE,2026,02-793-5995,420000.0,420000.0,,,,2017년 09월 ,서울특별시 용산구 회나무로41길 4  (이태원동),서울특별시 용산구 이태원동 258-14,,서울특별시,용산구,이태원동,서울 강북,이태원/해방촌/동빙고,37.5412099811035,126.996187235753,"안성재 셰프가 풀어내는 컨템포러리 레스토랑 모수서울이 자리를 옮겨 새로 오픈하였다. 일식에 기반을 두고 신선한 제철 해산물과 한식 식재료를 접목해서 풀어내는 파인 다이닝을 즐길 수 있다. 절제된 맛과 플레이팅, 그리고 심플한 실내 분위기가 잘 어우러진다.",컨템포러리,3
27144,밍글스,RIBBON_THREE,2026,02-515-7306,300000.0,400000.0,,,,2014년 05월 05일,서울특별시 강남구 도산대로67길 19 (청담동),서울특별시 강남구 청담동 94-6,힐탑빌딩 2층,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.52537011726149,127.04416060872083,국내외에서 이름을 드높이고 있는 강민구 셰프의 뉴코리안 레스토랑. 사찰음식과 한식 장인에게 전수받은 전통 한식 기법을 현대적으로 재해석한 한식을 맛볼 수 있다. 완벽을 지향하는 육수 내기 등 기본기를 중요시하고 있다. 실내 분위기도 모던하고 쾌적하며 서비스도 나무랄 데 없다. 홍콩에서 운영하고 있는 한식당 한식구가 큰 인기를 끄는 등 글로벌 셰프로서의 위엄을 보여준다.,"한식(일반한식), 뉴코리안",3
36550,가겐,RIBBON_THREE,2026,010-4584-2154,330000.0,330000.0,,,,2023년 08월 ,서울특별시 강남구 압구정로80길 19-1  (청담동),서울특별시 강남구 청담동 97-18,,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.5245020417067,127.045244867883,"가이세키요리로 잔뼈 굵은 ‘쿠로기’에서 경력을 쌓은 원진희 셰프와 도쿄 유명 식당인 '칸다’에서 경력을 쌓은 최현아 셰프가 선보이는 가이세키 전문점. 다양한 제철 식재료들을 활용해 풍미를 한껏 살려 요리한다. 시그니처 메뉴는 쿠로기에서 전수받은 ‘쿠로기 소면’, 계절 요리를 한 상에 담아낸 ‘핫슨’, 고사리 전분으로 만든 ‘와라비 모치’ 등이다.","일식, 가이세키",3
15931,파씨오네,RIBBON_THREE,2026,02-546-7719,70000.0,120000.0,,,,2012년 08월 ,서울특별시 강남구 언주로164길 39 (신사동),서울특별시 강남구 신사동 646-23,2층,서울특별시,강남구,신사동,서울 강남,압구정동/도산공원,37.52542,127.0367,"프랑스에서도 손꼽히는 라르페주, 라스트랑스 등 최고급 레스토랑에서 경험을 쌓은 이방원 셰프의 모던 프렌치 레스토랑. 클래식한 프렌치 레스토랑과 차별화된 신선한 감각을 보여주고 있다. 매일 좋은 재료를 엄선해 런치, 디너 각 한 가지의 코스를 내며, 재료의 풍미를 살리는 적절한 버터, 소금의 사용이 돋보인다. 특히 채소를 다양하게 활용한 요리에 강점이 있으며, 안정적인 조리에서 나오는 기본기도 탄탄하다.",프랑스식,3
859,콘티넨탈,RIBBON_THREE,2026,02-2230-3369 ,130000.0,320000.0,12:00~14:30/17:30~21:30 ,"런치코스(3코스 13만원, 4코스 14만5천원, 5코스 16만원), 디너코스(32만원)",연중무휴,1985년 07월 ,서울특별시 중구 동호로 249 (장충동2가),서울특별시 중구 장충동2가 202,서울신라호텔 23층,서울특별시,중구,장충동2가,서울 강북,장충동/약수동/신당동/황학동,37.556297,127.006307,"신라호텔 최상층에 위치한, 40여 년의 역사를 자랑하는 프렌치 레스토랑. 코펜하겐의 노마, 제라늄 등에서 수학한 김성현 셰프가 주방을 맡고 있으며 클래식한 프렌치에 기반한 컨템포러리하고 계절감 넘치는 완성도 높은 요리를 선보이고 있다. 남산의 전경이 한눈에 보이는 전망이 훌륭하다.",프랑스식,3
26017,제로컴플렉스,RIBBON_THREE,2026,02-532-0876,190000.0,270000.0,,,,2013년 07월 ,서울특별시 용산구 서빙고로59길 11-8  (서빙고동),서울특별시 용산구 서빙고동 205-2,,서울특별시,용산구,서빙고동,서울 강북,이촌동/서빙고,37.5208433209866,126.992854368108,"네오비스트로를 표방하는 곳으로, 이충후 셰프의 크리에이티브한 프렌치 코스를 맛볼 수 있다. 미니멀한 인테리어에, 허브와 특수 채소를 많이 사용하여 아름다운 플레이팅을 만드는 것이 특징이다. 2023년 6월 서빙고로 이전하여 새로운 모습을 선보인다.","컨템포러리, 프랑스식",3
28229,알라프리마,RIBBON_THREE,2026,02-511-2555 ,190000.0,310000.0,,,,2015년 07월 ,서울특별시 강남구 학동로17길 13 (논현동),서울특별시 강남구 논현동 42-6 인본,,서울특별시,강남구,논현동,서울 강남,논현동/영동시장,37.513525,127.026005,"재패니즈의 영향을 받은 컨템포러리 유로피안 레스토랑으로, 김진혁 셰프가 주방을 맡고 있다. 테이스팅 메뉴로 이루어진 코스는 수시로 구성이 바뀌어 셰프의 감각을 엿볼 수 있다. 블랙톤의 세련된 인테리어에 널찍한 공간이 쾌적한 느낌을 준다.",컨템포러리,3
4649,스시조,RIBBON_THREE,2026,02-317-0373,165000.0,330000.0,12:00~15:00/17:30~22:00(마지막 주문 21:30) ,"런치(Hall)(1인 15만5천원~20만5천원), 디너(Hall)(1인 19만4천원~33만원), 스시조회덮밥(10만원, 프리미엄 13만원), 복가라아게돌솥밥(12만원), 굴돌솥밥(7만8천원), 활새우튀김(11만원), 조리장특선모둠스시(14만5천원)",연중무휴,2008년 10월 ,서울특별시 중구 소공로 106 (소공동),서울특별시 중구 소공동 87-1 서울 웨스틴조선호텔,웨스틴조선호텔 20층,서울특별시,중구,소공동,서울 강북,시청/소공동/정동,37.564406,126.979697,서울 최고의 일식당 중 하나로 꼽히는 곳. 최상의 재료를 사용한 최고급 일본 요리를 맛볼 수 있다. 국내 최대 길이를 자랑하는 히노키 다이에서 맛보는 스시가 특히 인기가 높다. 신라호텔의 아리아께와 함께 우리나라 스시의 양대산맥을 이루고 있다. 최근에는 일본의 요시타케와 기술제휴로 적초샤리와 부드럽게 숙성된 네타를 사용하는 등 독특한 스타일을 선보이고 있다.,"일식, 스시",3
